model,n_input,n_output,cpu_usage,gpu_usage,execution_time,system
Qwen/Qwen2.5-1.5B-Instruct,94,3,24.0,11,2.5101184844970703,
Qwen/Qwen2.5-1.5B-Instruct,87,59,24.6,30,5.204425573348999,
Qwen/Qwen2.5-1.5B-Instruct,97,15,24.1,20,3.091904401779175,
Qwen/Qwen2.5-1.5B-Instruct,109,135,25.2,31,8.976231098175049,
Qwen/Qwen2.5-1.5B-Instruct,94,3,25.1,15,2.5623679161071777,
Qwen/Qwen2.5-1.5B-Instruct,113,83,24.5,32,6.425129890441895,
Qwen/Qwen2.5-1.5B-Instruct,89,442,27.0,33,24.092374086380005,
Qwen/Qwen2.5-1.5B-Instruct,127,493,26.8,33,26.68167352676392,
Qwen/Qwen2.5-1.5B-Instruct,86,128,28.7,32,8.675403833389282,
Qwen/Qwen2.5-1.5B-Instruct,153,50,25.5,25,4.812247037887573,
Qwen/Qwen2.5-1.5B-Instruct,125,651,26.4,34,34.36720681190491,
Qwen/Qwen2.5-1.5B-Instruct,104,2,23.9,65,2.4848761558532715,
Qwen/Qwen2.5-1.5B-Instruct,98,555,26.7,35,29.46569061279297,
Qwen/Qwen2.5-1.5B-Instruct,82,323,27.3,34,18.186805725097656,
Qwen/Qwen2.5-1.5B-Instruct,125,811,26.4,34,42.330652475357056,
Qwen/Qwen2.5-1.5B-Instruct,214,49,29.1,26,4.934755325317383,
Qwen/Qwen2.5-3B-Instruct,128,525,23.8,41,50.53887844085693,
Qwen/Qwen2.5-3B-Instruct,107,445,26.5,36,31.50633764266968,
Qwen/Qwen2.5-3B-Instruct,114,924,26.7,34,60.86340689659119,
Qwen/Qwen2.5-3B-Instruct,82,347,26.9,34,25.289042234420776,
Qwen/Qwen2.5-3B-Instruct,99,761,26.2,36,51.20664525032044,
Qwen/Qwen2.5-3B-Instruct,127,724,26.9,33,48.65439510345459,
Qwen/Qwen2.5-3B-Instruct,104,2,24.7,10,4.158537864685059,
Qwen/Qwen2.5-3B-Instruct,108,1024,26.6,34,67.1533637046814,
Qwen/Qwen2.5-3B-Instruct,121,16,24.4,28,5.12212061882019,
Qwen/Qwen2.5-3B-Instruct,118,457,26.8,38,32.290101528167725,
Qwen/Qwen2.5-3B-Instruct,102,599,26.8,34,41.16384410858154,
Qwen/Qwen2.5-3B-Instruct,132,774,26.9,32,51.99685478210449,
Qwen/Qwen2.5-3B-Instruct,156,26,25.3,26,5.823765516281128,
Qwen/Qwen2.5-3B-Instruct,90,19,24.7,28,5.19871973991394,
Qwen/Qwen2.5-3B-Instruct,99,1024,26.5,41,67.12215399742126,
Qwen/Qwen2.5-3B-Instruct,116,23,32.0,27,5.481090784072876,
Qwen/Qwen2.5-3B-Instruct,75,694,26.3,35,46.78817963600159,
Qwen/Qwen2.5-3B-Instruct,143,574,26.4,39,39.44221830368042,
Qwen/Qwen2.5-3B-Instruct,110,737,27.0,36,49.42337918281555,
Qwen/Qwen2.5-3B-Instruct,75,86,25.3,30,9.354368209838867,
Qwen/Qwen2.5-3B-Instruct,147,9,32.4,30,4.805872201919556,
Qwen/Qwen2.5-3B-Instruct,119,833,26.1,40,55.30844283103943,
Qwen/Qwen2.5-3B-Instruct,95,731,26.3,37,48.98574757575989,
Qwen/Qwen2.5-3B-Instruct,126,37,24.9,32,6.330929517745972,
Qwen/Qwen2.5-3B-Instruct,86,833,26.8,39,55.32048153877258,
Qwen/Qwen2.5-3B-Instruct,112,819,26.8,37,54.76757097244263,
Qwen/Qwen2.5-3B-Instruct,94,646,26.3,37,44.13076996803284,
Qwen/Qwen2.5-3B-Instruct,115,499,27.5,30,34.74379920959473,
Qwen/Qwen2.5-3B-Instruct,98,376,25.5,34,27.08467531204224,
Qwen/Qwen2.5-3B-Instruct,80,59,25.2,33,7.755276918411255,
Qwen/Qwen2.5-3B-Instruct,97,825,26.8,38,54.85064458847046,
Qwen/Qwen2.5-3B-Instruct,94,3,24.7,11,4.268576860427856,
Qwen/Qwen2.5-3B-Instruct,77,751,26.9,40,50.32623744010925,
Qwen/Qwen2.5-3B-Instruct,87,654,26.4,40,44.37178158760071,
Qwen/Qwen2.5-3B-Instruct,102,191,27.5,34,15.956811666488647,
Qwen/Qwen2.5-3B-Instruct,97,32,25.2,32,6.078674077987671,
Qwen/Qwen2.5-3B-Instruct,141,204,27.3,41,16.780844688415527,
Qwen/Qwen2.5-3B-Instruct,124,52,25.4,28,7.325595855712891,
Qwen/Qwen2.5-3B-Instruct,193,92,28.7,33,9.993823051452637,
Qwen/Qwen2.5-3B-Instruct,104,503,26.6,40,35.09152698516846,
Qwen/Qwen2.5-3B-Instruct,95,478,26.5,34,33.635688066482544,
Qwen/Qwen2.5-3B-Instruct,258,3,23.4,17,5.05341100692749,
Qwen/Qwen2.5-3B-Instruct,98,153,26.5,35,13.494703769683838,
Qwen/Qwen2.5-3B-Instruct,101,628,26.6,33,42.76445770263672,
Qwen/Qwen2.5-3B-Instruct,116,99,25.2,30,10.156198024749756,
Qwen/Qwen2.5-3B-Instruct,109,632,26.3,36,42.95209836959839,
Qwen/Qwen2.5-3B-Instruct,86,164,25.6,33,14.083988666534424,
Qwen/Qwen2.5-3B-Instruct,82,208,27.2,34,16.812302589416504,
Qwen/Qwen2.5-3B-Instruct,123,61,25.4,30,7.855547904968262,
Qwen/Qwen2.5-3B-Instruct,113,238,27.2,25,18.821096658706665,
